
# Curve 0 of 1, 500 points
# Curve title: "2*1/x * besj1(x) - besj0(x)"
# x y type
0.0000000e+00 0.0000000e+00  u
2.5731463e+00 4.5572709e-01  i
2.5851703e+00 4.5720097e-01  i
2.5971944e+00 4.5864154e-01  i
2.6092184e+00 4.6004853e-01  i
2.6212425e+00 4.6142168e-01  i
2.6332665e+00 4.6276073e-01  i
2.6452906e+00 4.6406544e-01  i
2.6573146e+00 4.6533555e-01  i
2.6693387e+00 4.6657083e-01  i
2.6813627e+00 4.6777104e-01  i
2.6933868e+00 4.6893594e-01  i
2.7054108e+00 4.7006531e-01  i
2.7174349e+00 4.7115891e-01  i
2.7294589e+00 4.7221654e-01  i
2.7414830e+00 4.7323797e-01  i
2.7535070e+00 4.7422299e-01  i
2.7655311e+00 4.7517141e-01  i
2.7775551e+00 4.7608301e-01  i
2.7895792e+00 4.7695760e-01  i
2.8016032e+00 4.7779499e-01  i
2.8136273e+00 4.7859499e-01  i
2.8256513e+00 4.7935743e-01  i
2.8376754e+00 4.8008211e-01  i
2.8496994e+00 4.8076888e-01  i
2.8617234e+00 4.8141755e-01  i
2.8737475e+00 4.8202798e-01  i
2.8857715e+00 4.8259999e-01  i
2.8977956e+00 4.8313345e-01  i
2.9098196e+00 4.8362819e-01  i
2.9218437e+00 4.8408408e-01  i
2.9338677e+00 4.8450098e-01  i
2.9458918e+00 4.8487875e-01  i
2.9579158e+00 4.8521727e-01  i
2.9699399e+00 4.8551642e-01  i
2.9819639e+00 4.8577608e-01  i
2.9939880e+00 4.8599612e-01  i
3.0060120e+00 4.8617646e-01  i
3.0180361e+00 4.8631697e-01  i
3.0300601e+00 4.8641758e-01  i
3.0420842e+00 4.8647818e-01  i
3.0541082e+00 4.8649868e-01  i
3.0661323e+00 4.8647901e-01  i
3.0781563e+00 4.8641909e-01  i
3.0901804e+00 4.8631884e-01  i
3.1022044e+00 4.8617820e-01  i
3.1142285e+00 4.8599712e-01  i
3.1262525e+00 4.8577552e-01  i
3.1382766e+00 4.8551337e-01  i
3.1503006e+00 4.8521062e-01  i
3.1623246e+00 4.8486722e-01  i
3.1743487e+00 4.8448315e-01  i
3.1863727e+00 4.8405836e-01  i
3.1983968e+00 4.8359285e-01  i
3.2104208e+00 4.8308658e-01  i
3.2224449e+00 4.8253955e-01  i
3.2344689e+00 4.8195175e-01  i
3.2464930e+00 4.8132317e-01  i
3.2585170e+00 4.8065381e-01  i
3.2705411e+00 4.7994369e-01  i
3.2825651e+00 4.7919281e-01  i
3.2945892e+00 4.7840120e-01  i
3.3066132e+00 4.7756887e-01  i
3.3186373e+00 4.7669586e-01  i
3.3306613e+00 4.7578219e-01  i
3.3426854e+00 4.7482792e-01  i
3.3547094e+00 4.7383308e-01  i
3.3667335e+00 4.7279772e-01  i
3.3787575e+00 4.7172189e-01  i
3.3907816e+00 4.7060566e-01  i
3.4028056e+00 4.6944910e-01  i
3.4148297e+00 4.6825227e-01  i
3.4268537e+00 4.6701524e-01  i
3.4388778e+00 4.6573811e-01  i
3.4509018e+00 4.6442095e-01  i
3.4629259e+00 4.6306386e-01  i
3.4749499e+00 4.6166694e-01  i
3.4869739e+00 4.6023028e-01  i
3.4989980e+00 4.5875399e-01  i
3.5110220e+00 4.5723819e-01  i
3.5230461e+00 4.5568300e-01  i
3.5350701e+00 4.5408853e-01  i
3.5470942e+00 4.5245491e-01  i
3.5591182e+00 4.5078228e-01  i
3.5711423e+00 4.4907077e-01  i
3.5831663e+00 4.4732053e-01  i
3.5951904e+00 4.4553170e-01  i
3.6072144e+00 4.4370444e-01  i
3.6192385e+00 4.4183891e-01  i
3.6312625e+00 4.3993526e-01  i
3.6432866e+00 4.3799367e-01  i
3.6553106e+00 4.3601431e-01  i
3.6673347e+00 4.3399736e-01  i
3.6793587e+00 4.3194300e-01  i
3.6913828e+00 4.2985141e-01  i
3.7034068e+00 4.2772280e-01  i
3.7154309e+00 4.2555735e-01  i
3.7274549e+00 4.2335528e-01  i
3.7394790e+00 4.2111678e-01  i
3.7515030e+00 4.1884206e-01  i
3.7635271e+00 4.1653135e-01  i
