
# Curve 0 of 1, 500 points
# Curve title: "besy1(x)"
# x y type
0.0000000e+00 0.0000000e+00  u
2.4769539e+00 1.3570585e-01  i
2.4889780e+00 1.4105363e-01  i
2.5010020e+00 1.4635857e-01  i
2.5130261e+00 1.5162034e-01  i
2.5250501e+00 1.5683859e-01  i
2.5370741e+00 1.6201297e-01  i
2.5490982e+00 1.6714315e-01  i
2.5611222e+00 1.7222879e-01  i
2.5731463e+00 1.7726955e-01  i
2.5851703e+00 1.8226511e-01  i
2.5971944e+00 1.8721513e-01  i
2.6092184e+00 1.9211928e-01  i
2.6212425e+00 1.9697725e-01  i
2.6332665e+00 2.0178870e-01  i
2.6452906e+00 2.0655332e-01  i
2.6573146e+00 2.1127080e-01  i
2.6693387e+00 2.1594082e-01  i
2.6813627e+00 2.2056307e-01  i
2.6933868e+00 2.2513725e-01  i
2.7054108e+00 2.2966305e-01  i
2.7174349e+00 2.3414018e-01  i
2.7294589e+00 2.3856834e-01  i
2.7414830e+00 2.4294724e-01  i
2.7535070e+00 2.4727659e-01  i
2.7655311e+00 2.5155611e-01  i
2.7775551e+00 2.5578552e-01  i
2.7895792e+00 2.5996454e-01  i
2.8016032e+00 2.6409291e-01  i
2.8136273e+00 2.6817034e-01  i
2.8256513e+00 2.7219659e-01  i
2.8376754e+00 2.7617139e-01  i
2.8496994e+00 2.8009448e-01  i
2.8617234e+00 2.8396563e-01  i
2.8737475e+00 2.8778457e-01  i
2.8857715e+00 2.9155108e-01  i
2.8977956e+00 2.9526492e-01  i
2.9098196e+00 2.9892585e-01  i
2.9218437e+00 3.0253364e-01  i
2.9338677e+00 3.0608809e-01  i
2.9458918e+00 3.0958896e-01  i
2.9579158e+00 3.1303606e-01  i
2.9699399e+00 3.1642917e-01  i
2.9819639e+00 3.1976808e-01  i
2.9939880e+00 3.2305261e-01  i
3.0060120e+00 3.2628257e-01  i
3.0180361e+00 3.2945776e-01  i
3.0300601e+00 3.3257801e-01  i
3.0420842e+00 3.3564314e-01  i
3.0541082e+00 3.3865298e-01  i
3.0661323e+00 3.4160737e-01  i
3.0781563e+00 3.4450615e-01  i
3.0901804e+00 3.4734916e-01  i
3.1022044e+00 3.5013626e-01  i
3.1142285e+00 3.5286730e-01  i
3.1262525e+00 3.5554215e-01  i
3.1382766e+00 3.5816068e-01  i
3.1503006e+00 3.6072276e-01  i
3.1623246e+00 3.6322827e-01  i
3.1743487e+00 3.6567710e-01  i
3.1863727e+00 3.6806914e-01  i
3.1983968e+00 3.7040429e-01  i
3.2104208e+00 3.7268245e-01  i
3.2224449e+00 3.7490353e-01  i
3.2344689e+00 3.7706745e-01  i
3.2464930e+00 3.7917412e-01  i
3.2585170e+00 3.8122348e-01  i
3.2705411e+00 3.8321546e-01  i
3.2825651e+00 3.8515000e-01  i
3.2945892e+00 3.8702703e-01  i
3.3066132e+00 3.8884653e-01  i
3.3186373e+00 3.9060844e-01  i
3.3306613e+00 3.9231272e-01  i
3.3426854e+00 3.9395934e-01  i
3.3547094e+00 3.9554829e-01  i
3.3667335e+00 3.9707954e-01  i
3.3787575e+00 3.9855308e-01  i
3.3907816e+00 3.9996891e-01  i
3.4028056e+00 4.0132702e-01  i
3.4148297e+00 4.0262743e-01  i
3.4268537e+00 4.0387013e-01  i
3.4388778e+00 4.0505516e-01  i
3.4509018e+00 4.0618254e-01  i
3.4629259e+00 4.0725230e-01  i
3.4749499e+00 4.0826447e-01  i
3.4869739e+00 4.0921911e-01  i
3.4989980e+00 4.1011625e-01  i
3.5110220e+00 4.1095596e-01  i
3.5230461e+00 4.1173830e-01  i
3.5350701e+00 4.1246333e-01  i
3.5470942e+00 4.1313113e-01  i
3.5591182e+00 4.1374179e-01  i
3.5711423e+00 4.1429538e-01  i
3.5831663e+00 4.1479200e-01  i
3.5951904e+00 4.1523176e-01  i
3.6072144e+00 4.1561475e-01  i
3.6192385e+00 4.1594109e-01  i
3.6312625e+00 4.1621089e-01  i
3.6432866e+00 4.1642429e-01  i
3.6553106e+00 4.1658140e-01  i
3.6673347e+00 4.1668237e-01  i
3.6793587e+00 4.1672734e-01  i
3.6913828e+00 4.1671645e-01  i
3.7034068e+00 4.1664986e-01  i
3.7154309e+00 4.1652773e-01  i
3.7274549e+00 4.1635023e-01  i
3.7394790e+00 4.1611753e-01  i
3.7515030e+00 4.1582981e-01  i
3.7635271e+00 4.1548725e-01  i
3.7755511e+00 4.1509005e-01  i
3.7875752e+00 4.1463839e-01  i
3.7995992e+00 4.1413248e-01  i
3.8116232e+00 4.1357254e-01  i
3.8236473e+00 4.1295877e-01  i
3.8356713e+00 4.1229139e-01  i
3.8476954e+00 4.1157064e-01  i
3.8597194e+00 4.1079673e-01  i
3.8717435e+00 4.0996991e-01  i
3.8837675e+00 4.0909043e-01  i
3.8957916e+00 4.0815852e-01  i
3.9078156e+00 4.0717445e-01  i
3.9198397e+00 4.0613848e-01  i
3.9318637e+00 4.0505086e-01  i
3.9438878e+00 4.0391188e-01  i
3.9559118e+00 4.0272181e-01  i
3.9679359e+00 4.0148092e-01  i
3.9799599e+00 4.0018952e-01  i
3.9919840e+00 3.9884789e-01  i
4.0040080e+00 3.9745633e-01  i
4.0160321e+00 3.9601514e-01  i
4.0280561e+00 3.9452464e-01  i
4.0400802e+00 3.9298514e-01  i
4.0521042e+00 3.9139695e-01  i
4.0641283e+00 3.8976041e-01  i
4.0761523e+00 3.8807585e-01  i
4.0881764e+00 3.8634359e-01  i
4.1002004e+00 3.8456399e-01  i
4.1122244e+00 3.8273738e-01  i
4.1242485e+00 3.8086412e-01  i
4.1362725e+00 3.7894456e-01  i
4.1482966e+00 3.7697906e-01  i
4.1603206e+00 3.7496799e-01  i
4.1723447e+00 3.7291172e-01  i
4.1843687e+00 3.7081062e-01  i
4.1963928e+00 3.6866508e-01  i
4.2084168e+00 3.6647547e-01  i
4.2204409e+00 3.6424219e-01  i
4.2324649e+00 3.6196563e-01  i
4.2444890e+00 3.5964619e-01  i
4.2565130e+00 3.5728427e-01  i
4.2685371e+00 3.5488028e-01  i
4.2805611e+00 3.5243462e-01  i
4.2925852e+00 3.4994772e-01  i
4.3046092e+00 3.4742000e-01  i
4.3166333e+00 3.4485187e-01  i
4.3286573e+00 3.4224378e-01  i
4.3406814e+00 3.3959614e-01  i
4.3527054e+00 3.3690940e-01  i
4.3647295e+00 3.3418399e-01  i
4.3767535e+00 3.3142037e-01  i
4.3887776e+00 3.2861898e-01  i
4.4008016e+00 3.2578027e-01  i
4.4128257e+00 3.2290470e-01  i
4.4248497e+00 3.1999273e-01  i
4.4368737e+00 3.1704482e-01  i
4.4488978e+00 3.1406143e-01  i
4.4609218e+00 3.1104305e-01  i
4.4729459e+00 3.0799014e-01  i
4.4849699e+00 3.0490318e-01  i
4.4969940e+00 3.0178264e-01  i
4.5090180e+00 2.9862903e-01  i
4.5210421e+00 2.9544281e-01  i
4.5330661e+00 2.9222449e-01  i
4.5450902e+00 2.8897456e-01  i
4.5571142e+00 2.8569350e-01  i
4.5691383e+00 2.8238183e-01  i
4.5811623e+00 2.7904005e-01  i
4.5931864e+00 2.7566865e-01  i
4.6052104e+00 2.7226815e-01  i
